step,loss,lr,batch_size
104,0.9266595244407654,0.0001,8
105,1.0816339254379272,0.0001,8
106,1.1212955713272095,0.0001,8
107,0.8546216487884521,0.0001,8
108,1.0171167850494385,0.0001,8
109,1.1604365110397339,0.0001,8
110,0.8418916463851929,0.0001,8
111,0.7642617225646973,0.0001,8
112,0.6167365312576294,0.0001,8
113,1.284515619277954,0.0001,8
114,0.9951125383377075,0.0001,8
115,0.7220156788825989,0.0001,8
116,0.9334067106246948,0.0001,8
117,1.1068257093429565,0.0001,8
118,0.8352508544921875,0.0001,8
119,0.6558139324188232,0.0001,8
120,1.1747722625732422,0.0001,8
121,1.0852652788162231,0.0001,8
122,0.7606156468391418,0.0001,8
123,1.1622124910354614,0.0001,8
124,0.9158596992492676,0.0001,8
125,0.6792021989822388,0.0001,8
126,0.8207323551177979,0.0001,8
127,0.7772444486618042,0.0001,8
128,1.0749777555465698,0.0001,8
129,0.7461178302764893,0.0001,8
130,1.0547959804534912,0.0001,8
131,0.9817847609519958,0.0001,8
132,0.8918578028678894,0.0001,8
133,0.7817674279212952,0.0001,8
134,0.8040033578872681,0.0001,8
135,0.7138984203338623,0.0001,8
136,1.1217353343963623,0.0001,8
137,0.7988668084144592,0.0001,8
138,0.8025339841842651,0.0001,8
139,0.8179466724395752,0.0001,8
140,0.8773727416992188,0.0001,8
141,0.5835005640983582,0.0001,8
142,1.09308660030365,0.0001,8
143,0.6995523571968079,0.0001,8
144,0.9223309755325317,0.0001,8
145,0.7227843403816223,0.0001,8
146,0.8229972720146179,0.0001,8
147,0.7984189987182617,0.0001,8
148,0.9496591091156006,0.0001,8
149,0.8507130146026611,0.0001,8
150,1.1260844469070435,0.0001,8
151,0.9634841680526733,0.0001,8
152,0.8507137298583984,0.0001,8
153,0.8102433085441589,0.0001,8
154,0.9541318416595459,0.0001,8
155,0.8185430765151978,0.0001,8
156,0.8053104877471924,0.0001,8
157,1.100130319595337,0.0001,8
158,0.8611263036727905,0.0001,8
159,0.9042689204216003,0.0001,8
160,0.7837352752685547,0.0001,8
161,0.7957849502563477,0.0001,8
162,0.8110477328300476,0.0001,8
163,1.0229073762893677,0.0001,8
164,0.7732328176498413,0.0001,8
165,0.9416698813438416,0.0001,8
166,0.9055579304695129,0.0001,8
167,0.7328250408172607,0.0001,8
168,0.8280764222145081,0.0001,8
169,0.9003193378448486,0.0001,8
170,0.973858118057251,0.0001,8
171,1.4704678058624268,0.0001,8
172,0.7670226693153381,0.0001,8
173,0.8851780295372009,0.0001,8
174,0.8880202770233154,0.0001,8
175,0.8732454776763916,0.0001,8
176,0.7027260065078735,0.0001,8
177,1.2038993835449219,0.0001,8
178,1.0625391006469727,0.0001,8
179,0.9753778576850891,0.0001,8
180,1.2101945877075195,0.0001,8
181,0.8880453109741211,0.0001,8
182,0.8782561421394348,0.0001,8
183,1.1697379350662231,0.0001,8
184,0.7826300859451294,0.0001,8
185,1.034152865409851,0.0001,8
186,1.0570569038391113,0.0001,8
187,1.087074637413025,0.0001,8
188,0.7577047348022461,0.0001,8
189,1.0092787742614746,0.0001,8
190,0.7982689738273621,0.0001,8
191,1.0739895105361938,0.0001,8
192,0.8885701298713684,0.0001,8
193,0.8936058878898621,0.0001,8
194,0.7831637859344482,0.0001,8
195,1.196200966835022,0.0001,8
196,0.603185772895813,0.0001,8
197,0.7367852926254272,0.0001,8
198,0.7759534120559692,0.0001,8
199,0.9329986572265625,0.0001,8
200,1.0143345594406128,0.0001,8
